actual_fra,actual_eng,predicted_eng
il ny a pas eu de réponse,there was no response,there was no response    
tout le monde a ignoré tom,everyone ignored tom,everyone smiled tom     
je nai pas de système,i dont have a system,i have no one    
jespère que vous vous portez bien,i hope youre well,i hope you  well   
cela ressemblait à une arme à feu,it looked like a gun,this wont a hospital    
combien de temps cela faitil ,how long ago was that,how much is do    
bon appétit ,enjoy your meal,enjoy your food     
arrêtezvous ici ,pull over here,stop here      
allonsy doucement,lets take it easy,lets go      
il vit seul,he lives alone,he lives by     
ta réponse est fausse,your answer is wrong,your answer is wrong    
nous sommes arabes,we are arabs,were free      
je suis maladroit,im all thumbs,im feel      
tiens la rampe,hold the handrail,keep a      
je suis de singapour,im from singapore,im ugly      
je nétais pas amoureuse,i wasnt in love,i wasnt in love    
je suis heureux ici,im happy here,im happy here     
tom fumait autrefois,tom used to smoke,tom  leave     
je taime vraiment,i really like you,i really love you    
où sont nos affaires ,wheres our stuff,where our      
elles aiment tom,they love tom,they love tom     
je vais juste y aller,ill just go,im just going go    
je lai trouvé,i found it,i found it     
ils plaisantent,theyre kidding,theyre kidding      
nous sommes tous impressionnés,were all impressed,were all tired     
mettez le chapeau,put on the hat,put on the hat    
je me sens flattée,i feel flattered,i feel      
comment traiton une vache ,how do you milk a cow,how  a cow    
jétais juste en colère,i was just angry,i was just angry    
il ne sagit pas delles,its not about them,its not them     
jai trouvé un boulot,ive found a job,i found a job    
cest un mec bien,hes a good lad,shes a good guy    
tom ne peut pas faire ça,tom cant do that,tom cant do that    
il sera en sécurité avec moi,hell be safe with me,hes not with me    
jai éprouvé la même chose,i felt the same way,i checked the same    
la chance nexiste pas,luck doesnt exist,im not of     
je nai pas besoin darme,i dont need a gun,i dont need a weapon   
il était fatigué à ce momentlà,he was tired then,he was busy so    
je ne tai jamais oubliée,i never forgot you,i never forgot you    
je suis remplaçable,im replaceable,im am      
montrezmoi votre montre,show me your watch,show me your watch    
donneleleur,give it to them,lets hit      
cest plein aujourdhui,its crowded today,thats a today     
tom arrêta marie,tom stopped mary,tom slapped mary     
jadore ce que je fais,i love what i do,i love what you do   
puisje taider ,could i help you,can i help you    
ce nest pas drôle ,this is not funny,thats not funny     
je suis né en 1979,i was born in 1979,i was born in before   
vous êtes vraiment doué,youre really gifted,youre really gifted     
tom sest assis sur le canapé,tom sat on the couch,tom sat on the    
jaime vraiment mon travail,i really love my job,i do really my work   
tom aime le fromage,tom likes cheese,tom likes basketball     
nous sommes bourrées,were plastered,were free      
pour sûr,of course,thats for about     
il est sociable,he is outgoing,hes is outgoing     
je te raconterai une histoire,ill tell you a story,ill tell you a story   
la classe sest déchaînée,the class went wild,the class went mouse    
il a une bonne mémoire,he has a good memory,he has is good    
enfonce la porte ,push the door open,knock the      
pourquoi même estce que je men soucie ,why do i even care,why do you do it   
jétais si malheureux,i was so unhappy,i am so busy    
tom aime la crème glacée,tom likes ice cream,tom  like     
aije oublié qui que ce soit ,did i forget anyone,did i  anyone    
ils furent victorieux,they were victorious,they were victorious     
je suis ivre,im drunk,im drunk      
la glace a fondu,the ice has melted,the ice melted     
ce fut votre idée,it was your idea,that was your idea    
jaime son roman,i like her novel,i heard his her    
cest une de celleslà,its one of those,thats a      
jai le mal du pays,i am homesick,i homesick      
devine ,make a guess,ok i in     
sommesnous tous satisfaits ,are we all happy,are we all     
combien coûtentils ,how much are they,how much is you cost   
le poisson est prêt,this fish is done,the is  ready    
il a bu une bière,he drank a beer,he drank a beer    
cest exaltant,its inspiring,thats is      
ils étaient bizarres,they were strange,they were strange     
tom est responsable,tom is responsible,tom is      
à votre santé ,heres to your health,tie your      
comment estu raccordée ,how are you connected,how did you get    
ça va ,how are you going,how is you     
cest très pratique,thats very handy,thats very dry     
il na pas de bicyclette,he has no bicycle,he had no a    
vous ne pouvez pas encore partir,you cant go yet,you cant go yet    
il nous faut des preuves,we need proof,we need evidence     
nous avons besoin de tout,we need everything,we need it all    
tu es fort élégante,youre very stylish,youre very stylish     
cétait inévitable,it was unavoidable,it was inevitable     
elle frappa la balle avec force,she hit the ball hard,she is it on    
estu occupée ,are you busy,are you busy     
deux bières je vous prie ,two beers please,you       
à emporter ,is it to go,this will calmed     
je le prouverai,ill prove it,i recommend it     
nous le voulons toutes les deux,we both want it,we both want it    
cette porte ne souvrira pas,that door wont open,this door isnt     
nous sommes prêtes,were prepared,were ready      
nous sommes immédiatement partis,we left immediately,we here      
marché conclu,weve got a deal,tom denied      
saistu lire la musique ,can you read music,can you read the    
ce nest pas mon anniversaire,its not my birthday,it not my birthday    
maintenant fêtons ça,now lets celebrate,now       
je vais travailler,im going to work,i going work     
elle est venue à mon secours,she came to my aid,she came to  my   
aimezvous chanter ,do you like singing,do you like to sing   
jai entendu un cri,i heard a scream,i heard a summer    
cest hilarant,this is hilarious,thats hilarious      
je veux entendre ça,i want to hear this,i want to hear that   
nous connaissezvous ,do you know us,do know      
je suis suffisamment grand,im old enough,im am enough     
que vous êtes grand ,how tall you are,how tall you are    
tout le monde est excité,everybody is excited,everyone is      
elle nest pas chez elle actuellement,shes not at home now,she isnt home     
puisje ouvrir une cannette ,may i open a can,may i  a    
ce nest que du sang,its just blood,its only blood     
sentez cette fleur,smell this flower,do this season     
jadore les hamburgers,i love hamburgers,i love hiking     
il doit avoir la cinquantaine passée,he must be over fifty,he must had the    
doublecliquez sur licône,doubleclick the icon,lay on      
je nai pas le temps maintenant,i dont have time now,im dont have time now   
ils sont immatures,theyre immature,theyre mine      
je veux aller à létranger,i want to go abroad,i want to go abroad   
donnemoi ce livre,give me the book,hand me this book    
il remonta une grosse truite,he landed a big trout,he is a lot    
tom na peutêtre pas tort,tom may not be wrong,tom said not wrong    
je lai apprécié,i appreciated it,i liked that     
trop maigre cest quoi ,how thin is too thin,its is      
jétais très choquée,i was really shocked,i was really shocked    
jadore jouer du chopin,i love playing chopin,i love playing chopin    
voilà comment ça a commencé,thats how it began,this is how i it   
jai le passepartout,i have the master key,i have the     
il sauta hors du lit,he jumped out of bed,he has on of    
ces livres sont miens,these books are mine,those books are     
ça fait mal ici,it hurts here,it  well here    
lavion sest écrasé,the plane crashed,the bread rotates     
où sont vos enfants ,where are your kids,where are your kids    
tom a commandé une boisson,tom ordered a drink,tom ordered a drink    
je suis juste à ton côté,im right beside you,im going to your    
tournezlà à droite,turn right there,turn to on right    
pourquoi estu à la maison ,why are you at home,why are you at home   
essaie de ça ,try some of this,try it that     
bien sûr que jirai,of course ill go,youre course      
toutes les trois ont été tuées,all three were killed,all were  killed    
il pense que je suis jaloux,he thinks im jealous,i think i jealous    
il nest pas toujours heureux,hes not always happy,hes not  happy    
nous avons tout vu,we saw everything,weve saw everything     
vous devez être prudents,you must be cautious,you must be cautious    
cest pénible,thats upsetting,this is difficult     
tom a arrêté de fumer,tom quit smoking,tom gave up smoking    
je veux tembrasser,i want to kiss you,i want to kiss you   
ne perdez pas votre sangfroid,dont lose your cool,dont not calm     
tom vient aujourdhui,tom is coming today,tom comes safely     
quel boulet ,what a drag,what a prospect     
vous êtes endormie,youre sleepy,youre sleepy      
de quelle longueur sontils ,how long are they,how long are they    
elle est sur le point de partir,she is about to leave,shes about to     
nous sommes sept,there are seven of us,there on      
jaime le rock,i like rock,i like rock music    
tu es très brave,you are very brave,youre very brave     
je me suis levée vers six heures,i got up about six,i got up on 630   
tu nas pas lair bien,you dont look well,you dont feel well    
tom sen va ,is tom leaving,tom is going     
tom était objectif,tom was objective,tom was drunk     
qui te la donné ,who gave it to you,who gave you to it   
tu nes pas invité,you arent invited,youre not invited     
ces journaux sont gros,these logs are heavy,those are  big    
nous avons des photos,we have pictures,we have plans     
je suis cloué,im grounded,im       
regardez cette image,look at that picture,look at that picture    
il sagit dun mythe,thats a myth,thats a myth     
il était cassé,it was broken,he was broken     
tom est répugnant,toms repulsive,tom is repulsive     
jai perdu mes amis,ive lost my friends,ive lost my friends    
tom a adoré le film,tom enjoyed the movie,tom loved the movie    
cest tellement facile,this is so easy,this is so     
où se trouve ta maison ,where is your house,wheres your house     
pourquoi êtesvous seuls ,why are you alone,why are you alone    
ce serait bizarre,that would be awkward,that would be weird    
personne ne nous arrêtera,no one will stop us,no one will stop us   
tous les hommes sont frères,all men are brothers,all  was black    
personne ne parle,no one is speaking,no ones talking     
cest normal,this is normal,thats is normal     
cela fait vraiment mal,that really hurts,it really hurts     
elle est très difficile cellelà,thats a hard one,shes is very good job   
nimporte qui peut faire ça,anybody can do that,anyone can do that    
jai décidé de ne pas y aller,i decided not to go,i have  to go   
ce qui est mien est tien,whats mine is yours,this is      
pouvezvous garder un secret ,can you keep a secret,can you keep a secret   
elle la mise dans la boîte,she put it in the box,she put it the box   
japprécie cela,i like that,i like      
je suis tout à fait daccord,i quite agree,im strongly agree     
laissemoi attraper mon portefeuille ,let me get my wallet,let me get my wallet   
ce nest pas du véritable argent,its not real money,this is a money    
il se peut quil faille que je parte,i may need to move on,i may i be leave   
ce fut ton idée,it was your idea,that was your idea    
je travaille ici,im working here,i work here     
je ne parviens pas à admettre ma défaite,i cant give up,i cant give up    
pourquoi faire cela maintenant ,why do that now,why all do  now   
nous présentons nos excuses,we apologize,well going our     
cest tout ce que je peux faire,its all i can do,thats all i can do   
il a sa propre chambre,he has his own room,he has his room    
jaime lire des livres,i like to read books,i love comic books    
tu devrais partir maintenant,you should go now,you should go now    
ce nest pas un tigre,this is not a tiger,that is not a tiger   
sois créative ,be creative,be creative      
quel est votre plan ,what is your plan,what is your plan    
il sait lire et écrire,he can read and write,he began forgot help    
estce que je perds mon temps ,am i wasting my time,i  have time    
je ne suis pas en colère,im not angry,im not angry     
cela vautil le coup ou non ,is it worth it or not,is it like or no   
estu mon ennemi ,are you my enemy,are you my enemy    
il ma eue,he tricked me,he got me     
je me souviens de lavoir vue,i remember seeing her,i remember seeing her    
tom a regardé,tom looked,tom looked      
vous êtes toutes à moi,youre all mine,youre all mine     
elle sent mauvais,she smells bad,she smells bad     
je lui ai confectionné une robe,i made her a dress,i made me a fever   
cest en feu,its on fire,its a fire     
tom a des allergies,tom has allergies,tom has lunch     
puisje lemprunter ,may i borrow it,may i      
jette ton arme ,drop your gun,throw your gun     
ils sont entrés,they came in,they entered master     
gardez largent,keep the money,keep the money     
nous partions skier,we went skiing,we went to     
tom lui fait confiance,tom trusts him,tom trusts him     
je ne me trouvais pas à mon domicile,i wasnt home,i didnt out my    
je le tenterai,ill try it,ill will it     
une tasse de thé sil vous plait,a cup of tea please,please a bit please    
il rejeta notre proposition,he rejected our offer,he gave our     
quelquun a répondu,somebody answered,somebody answered      
ils sont en colère après vous,theyre mad at you,theyre mad at you    
vous êtes terreàterre,youre grounded,youre grounded      
c’est un arbre,thats a tree,this is a tree    
mange tes légumes ,eat your veggies,eat your vegetables     
marie est vivante,mary is vivacious,mary is graceful     
le temps est un mystère,time is a mystery,the is  mystery    
votre père est grand,your father is tall,his father is tall    
vous êtes très craintive,youre very timid,youre very timid     
jai oublié ton cadeau,i forgot your present,i forgot your bicycle    
mon sac fut dérobé,my bag was stolen,my hobby is phone    
on ma dit que tom te détestait,i hear tom hates you,i said i   you  
trouvetoi un siège,find yourself a seat,take a  seat    
scellez la porte ,seal the doors,seal the door     
pourquoi partentelles ,why are they leaving,why are they     
nous rejouons,were taking over,were going      
elle lui a dit darrêter,she told him to stop,she never tell me    
il a une grosse voix,he has a loud voice,hes a  voice    
je sais ce que nous arrivons à faire,i know what we can do,i know what we can do  
rencontrer des garçons est difficile,meeting boys is hard,the well is hard    
je suis tombé,i fell,i fell      
tom sexerce,tom is exercising,tom exercises      
commencez par compter,start counting,start counting together     
je men suis aperçu,i could see that,im am for     
cest fait,its done,thats is      
jai besoin dun mouchoir,i need a tissue,i need a tissue    
je devrais être là,i should be there,i should be here    
elle est active,she is active,shes is      
viens nous rejoindre ,come join us,come with us     
ça me regarde,thats my business,its looking at me    
cétait une tragédie,it was a tragedy,it was a shark    
cest juste bizarre,thats just weird,thats just weird     
je sais que vous êtes riche,i know you are rich,i know you rich    
je suis désolé davoir fait ça,im sorry i did that,im sorry i  that   
ça peut arriver parfois,it happens sometimes,it happens      
on part maintenant,were leaving now,are we now     
elle la ligoté,she tied him up,she hit it him    
il a ri le dernier,he had the last laugh,he laughed last     
ne soyez pas mesquin ,dont be mean,dont be mean     
je pense que cest bon,i think this is good,i think its ok    
je fais marcher cet endroit,i run this place,i do that this place   
sontils sympathiques ,are they friendly,are they responded     
jen ai marre de mentir,im sick of lying,im sick of     
tom se remet,tom is recovering,tom is going     
tom nous a surpris,tom overheard us,tom killed won     
tu ne peux pas changer tom,you cant change tom,you cant tom     
estce tout ce quelles font ,is this all they do,is that all     
ça na pas été une réussite,it did not come off,it wasnt no     
nous lavons vue,weve seen her,we saw her     
cest juste stupide,this is just stupid,thats just stupid     
je nai pas été invité,i wasnt invited,i havent werent     
je vais bien,im ok,im doing      
jai besoin de ma clé,i need my key,i need my key    
uniquement de leau je vous prie,just water please,water please      
il me faut aller chez moi,ive got to get home,i got to go home   
tu es grand,you are big,youre big      
il est relativement tôt,its relatively early,he went early     
tu es très courageux,you are very brave,youre very brave     
essaie de ne pas paniquer ,try not to panic,try not to panic    
jai eu de la chance,i got lucky,i was lucky     
nous avons vu que tom lavait fait,we saw tom do it,we saw tom     
tom est un anarchiste,tom is an anarchist,tom is a carpenter    
il était vraiment dur,it really was hard,he was really hard    
ne soyez pas naïf ,dont be naive,dont be naive     
personne nest arrivé,no one arrived,no one happened     
je pense que je ferai ça,i think ill do that,i think  doing that   
cet oiseau ne sait pas voler,this bird cant fly,this cant  fly    
en avant,get moving,go ahead      
tu as lair déprimée,you seem depressed,you seem depressed     
elle a deux mille livres,she has 2000 books,she has two books    
jai perdu ton numéro,i lost your number,i lost your number    
je vais être votre instituteur,ill be your teacher,ill be your     
jétais très jaloux,i was very jealous,i was very jealous    
cest sa maison,that is his house,this is his house    
vous rappelezvous ,do you remember,do you remember     
continue à travailler ,continue working,keep working      
on est le matin,its morning,theyre in the     
je mattendais à plus,i expected more,i started anymore     
jai tout essayé,ive tried everything,i tested everything     
elle a décidé de ne pas partir,she decided not to go,she decided not to go   
c’était un mauvais choix,that was a bad choice,it a big deal    
donnemoi ton téléphone ,give me your phone,give me your phone    
jai un aquarium,i have a fish tank,i have a dishwasher    
où est ta veste,wheres your jacket,where is your jacket    
je peux en acquérir un,i can buy one,i can buy one    
tu vas mieux maintenant ,are you better now,are you better now    
il habite au maroc,he lives in morocco,he lives in     
je suis d’accord avec vous,i agree with you,im going with you    
tom vérifia la date,tom checked the date,tom loves the date    
préparezvous,get ready,prepare yourself      
vous êtes très serviables,youre very helpful,youre very helpful     
je vois que tu es prête,i see you are ready,i want you  ready   
personne ne se trouve en bas,no one is downstairs,this is up     
la pluie ma mis en retard,the rain made me late,the mother is on late   
tom a besoin dentraînement,tom needs training,tom needs      
nous essayons,were trying,were wait      
regarde la route ,watch the road,watch the road     
tom atil été assassiné ,was tom murdered,was tom      
tom a une grande maison,tom has a big house,tom has a big house   
êtesvous toujours mariés ,are you still married,are you still married    
tom saluait marie,tom greeted mary,tom teased mary     
fais revenir tom,bring tom back,bring tom back     
tom est dérangé,toms crazy,tom is deranged     
je nai pas cessé,i didnt stop,i didnt stopped     
ne nous énervons pas,lets take it easy,dont not us     
pouvezvous vous le payer ,can you afford it,can you afford it    
attrape ça,catch this,grab this      
je dois le rencontrer,i have to meet him,i need to it    
nous ne sommes pas des ennemis,we arent enemies,were not enemies     
tu peux maintenant rentrer chez toi,you may go home now,you can go home now   
je pense que javais tort,i think i was wrong,i know tom was wrong   
tu nas pas lair heureux,you dont look happy,you dont look happy    
goûtez ,have a taste,itll break      
lavion sécrasa,the plane crashed,the cake is away    
vous me faites marcher ,youre kidding,youre kidding      
tom a des moutons,tom has sheep,tom has sheep     
ça devrait être amusant,this should be fun,it should be funny    
pas touche ,hands off,dont overdo it     
faisle toimême ,do it by yourself,do it      
tom complimentait marie,tom complimented mary,tom teased mary     
ils narrivent pas à le faire,they cant do that,they cant do that    
il vit dans son véhicule,he lives in his car,he lives in the car   
estce quils aiment le vin ,do they like wine,do they like wine    
il est parti il y a une minute,he left a minute ago,he left a minute    
il faut le faire,it has to be done,you need do  it   
quand le souper estil servi ,whens dinner served,whens dinner served     
il est dépourvu de sens commun,he lacks common sense,he is no     
je vis quelquun,i saw somebody,i someone      
tout le monde te rend responsable,everybody blames you,everybody blames you     
quiconque matil appelé ,did anyone call me,what anyone me     
nous sommes responsables,were responsible,were to blame     
tom vient déternuer,tom just sneezed,tom just laughed     
ça aide,it helps,that helps      
en route,get going,lets your our way    
voici ma chambre ,heres my room,here my room     
êtesvous prêts maintenant ,are you ready now,are you ready now    
taisezvous et asseyezvous,shut up and sit down,be and      
vous êtes toutes contentes,youre all happy,youre all happy     
je me suis amendée,im reformed,im am myself     
ils sont très gros,they are very big,theyre are big     
tout le monde peut aider,everyone can help,everyone will help     
allezy ,go ahead,go get up     
tom est atteint de démence,tom is demented,tom is      
jai besoin de toi maintenant,i need you now,i need you now    
elles nous connaissent,they know us,they know us     
il a couru nu dehors,he ran outside naked,he rushed away     
elle a été parfaite,she was perfect,she sounded perfect     
en estu sûre ,are you sure of it,are you certain     
surveille mes arrières ,watch my back,watch your back     
on ma promu,im being promoted,i have promoted     
vous êtes les vainqueurs ,youve won,youre the cops     
je comprends complètement,i totally get it,i will understand     
nous ne disposons pas despace,we have no room,we dont no match    
je peux manger cette pomme ,may i eat this apple,i can this  apple   
frappez à la porte ,knock on the door,turn the  door    
jai fait une grave erreur,i made a bad mistake,i did a great mistake   
je déteste lennui,i hate being bored,i hate tomatoes     
javais la tête qui tournait,i was dizzy,i was been     
estce quil vit ici ,does he live here,did he  here    
bois un verre avec moi,have a drink with me,drink a  with me   
tu mas déçu,you disappointed me,you let me down    
tom na pas réussi,tom didnt succeed,tom didnt work     
je pensais te connaître,i thought i knew you,i thought i  you   
ta mère estelle à la maison ,is your mom home,is your mom here    
faites ce que vous voulez,just do what you want,do what you want    
cest maintenant une habitude,its now a habit,its a now     
il ny a pas de serviettes,there are no towels,there is no name    
ouvrezle,pull it open,open it      
estce déjà ouvert ,is it already open,is that all     
je suis fermier,im a farmer,im a      
ma vie est ennuyeuse,my life is boring,my mother is     
partons ,lets move,lets take a     
tom avait une arme,tom had a gun,tom had a gun    
les hommes sont tous les mêmes,men are all the same,the are the     
vous avez un avenir,you have a future,you have a future    
elle le mit dans la boîte,she put it in the box,she put it in the box  
cest effarant ,this is outrageous,this is awesome     
ce nétait pas de la chance,it wasnt luck,it wasnt no     
qui t’a embrassée ,who kissed you,who kissed you     
tout le monde a applaudi,everybody applauded,everybody cheered      
tom nous a suivi,tom followed us,tom followed us     
je suis mort de peur,im scared to death,im afraid of     
tom nest pas en train de pleurer,tom isnt crying,tom isnt crying     
elles sont formidables,theyre great,theyre great      
elle lui obéit,she obeys him,she kissed him     
la maison brûle ,the house is on fire,the is      
les roses sentent bon,roses smell sweet,the roses smell nice    
tu as lair dun enfant,you look like a kid,you look like child    
je me suis assis sur le canapé,i sat on the couch,i sat on the sofa   
montele,turn it up,lets get up     
je te trouve intrigant,i find you intriguing,ill find you intriguing    
nous navons rien fait,we have done nothing,we didnt nothing anything    
nous avons réussi,we made it,we succeeded      
donnezmoi cette samoussa,give me that samosa,give me this broom    
elle la poursuivi en justice,she sued him,she  him     
êtesvous blessés ,are you hurt,are you injured     
descendstu ,are you coming down,take it      
jai déjeuné tôt,i had an early lunch,i got met early    
cétait un bon choix,it was a good choice,it was a good    
jai cessé de fumer,ive given up smoking,i stopped smoking     
il a profondément respiré,he breathed deeply,he has soundly     
continuez décrire,keep writing,keep it      
ce nest pas trop tôt,its not too early,its not too late    
remuez vos orteils,wriggle your toes,youre your toes     
tu peux rentrer,you can go back,you can go home    
qui est ta copine ,who is your friend,who is your     
comment le saistu ,how do you know,how do you know it   
tom est influent,tom is influential,tom is hammered     
je nai pas la balle,i dont have the ball,i dont get this    
je suis trop occupé,im too busy,im too busy     
il est très protecteur,hes very protective,he is horrible     
estce sain ,is that healthy,is that right     
elle achète toujours du lait,she always buys milk,she still no milk    
ça ne maide pas,that doesnt help me,thats not helping me    
avonsnous le temps ,do we have time,do we take time    
ici nous cultivons le blé,we grow wheat here,we live it bible    
nous nous aimons lun lautre,we love each other,we all to tom    
cest hors de prix,this is priceless,this is of     
cela devient difficile,its getting hard,it is just hard    
cest tom au téléphone,its tom on the phone,this is the phone    
vous êtes très grossiers,youre very rude,youre very rude     
je ne suis pas un prophète,i am not a prophet,im not a millionaire    
nous lavons tous vue,weve all seen it,weve all seen it    
je pense autrement,i think otherwise,i think i knows    
je suis en colère après toi,im mad at you,im  behind you    
ils ny arriveront pas,they wont make it,they dont do it    
jai loupé le souper,i missed supper,i missed the dinner    
le perroquet est mort,the parrot is dead,the has is dead    
je déteste vraiment ça,i really hate this,i hate really that    
arrête tom,stop tom,stop tom      
retire ça ,take that back,thanks this      
tom est arrivé en toute sécurité,tom arrived safely,tom came all     
vous ne pouvez pas porter ça,you cant wear that,you cant wear this    
elle est gentille avec lui,she is kind to him,she is kind to him   
ça sest bien passé,it went ok,it happened well     
ça a presque marché,it almost worked,it was      
venez bientôt ,come soon,come soon      
je voyage fréquemment,i travel frequently,i like to     
excusemoi,im sorry,excuse me      
êtesvous fou ,are you mad,are you crazy     
vous nêtes pas habillée,youre not dressed,youre not dressed     
je vais dormir,i am going to sleep,im going to bed    
laissemoi trouver ,let me find out,let me find     
jai lavé par terre,i mopped the floor,i cleared the floor    
le chat nest pas mort,the cat is not dead,the cat is not dead   
le drapeau est hissé,the flag is up,the worst is     
cest très collant,its very sticky,thats very      
que ditesvous daller en griller une ,how about a smoke,what do you go    
passe du bon temps ,have a nice time,take a      
voilà bois un coup ,here have a drink,here a  drink    
tu es productive,youre productive,youre productive      
abaissez votre fenêtre ,roll down your window,take your      
il a lair dun insecte,he looks like a bug,he looks like date    
désolé nous sommes fermés,sorry were closed,sorry were  closed    
lâge nimporte pas,age doesnt matter,dont remind      
ceci est pour vous,this is for you,this is for you    
quelle ineptie ,what nonsense,this is silly     
vous êtes intrépide,youre fearless,youre fearless      
je sais que vous êtes partis tôt,i know you left early,i know you left early   
le chat ma effrayée,the cat scared me,the cat is nine    
elles ne peuvent pas te virer,they cant fire you,they cant fire you    
notre temps est limité,our time is limited,our is      
il ne la jamais dit à personne,he never told anyone,he never told anyone    
jai téléphoné à mon père,i called my father,i owe my  father   
vous avez été prévenue,youve been warned,you have been warned    
tu es fort talentueuse,youre very talented,youre very talented     
avezvous pris une douche ,have you showered,did you take a shower   
avancez de deux pas,advance two steps,stay two      
je ne faisais que plaisanter,i was only joking,i was only teasing    
pensez à votre frère ,think of your brother,think of your brother    
qui vous a recruté ,who hired you,who hired you     
je vous en conjure,i beg you,i will you     
cen était un balaise,it was a big one,it was a big    
freinez,hit the brakes,he never hope     
estce que je peux compter sur toi ,can i rely on you,can i rely on you   
je connais votre mère,i know your mother,i know your mother    
vous mavez menti,you lied to me,you lied to me    
je suis voyante,im psychic,im psychic      
ne te tiens pas trop près ,dont stand too close,dont be too     
il avait mal à la tête,his head ached,he was a headache    
avezvous un briquet ,do you have a lighter,do you have a    
quelque chose ne va pas,somethings wrong,something is      
jaime cette pièce,i like this room,i like this room    
nous sommes suffisamment proches,were close enough,were close      
je lai éteint,i turned it off,i turned it     
nous avons entendu une détonation,we heard a gunshot,we heard a gunshot    
tom effraie tout le monde,tom scares everybody,tom trusts everybody     
ce sera tout ,will that be all,thatll be      
avonsnous le choix ,do we have a choice,do we have a    
nous nous levâmes à laube,we got up at dawn,we meet with dawn    
dégage simplement dici ,just get out of here,just get out here    
ils ont encore perdu,they lost again,they lost again     
obéis à tes parents,obey your parents,go your      
ils ont besoin de largent,they need the money,they need money     
quel est ton nom ,whats your name,whats your name     
jétais patient,i was patient,i was patient     
les enfants observent les adultes,children watch adults,children kids  them    
je suis en train de travailler,im working,im am working     
tom sest empressé dentrer,tom rushed in,tom left in     
il marche vite,he walks fast,he is fast     
qui démissionne ,who quit,who whos this     
tenez prenez ceci ,here take this,hold this      
jai un avocat,i have a lawyer,i have a lawyer    
vous êtes bougon,youre grumpy,youre wicked      
il sen met plein les poches,hes raking it in,he took the it    
jadore les chiens,i love dogs,i love dogs     
ça vous plaît ,do you like that,do you like this    
il te faut un boulot,you need a job,you need a job    
allez parlezmoi,come on talk to me,try to me     
vous lignorez,you dont know that,are you      
je suis crédule,im gullible,im naive      
tom a trois vaches,tom has three cows,tom has three     
tom a frappé mary,tom punched mary,tom knocked mary     
je retirai mon manteau,i took off my coat,i took my coat    
il ny a personne,theres no one there,there is  there    
elles attendent toutes,theyre all waiting,theyre all waiting     
jouestu au golf ,do you play golf,do you play a band   
je sais ce que tu veux,i know what you want,i know what you want   
je fis une promesse,i made a promise,i made a promise    
il a creusé un trou,he dug a hole,he has a     
il présenta sa carte,he presented his card,he has a own    
nous sommes sidérées,were stunned,were free      
il semble être malade,he seems to be sick,he seems to be ill   
votre réponse est juste,your answer is right,your answer is right    
tu nes pas drôle,youre no fun,youre not funny     
parlez français sil vous plaît,please speak french,eat your please     
questce que ça pourrait être ,what could it be,what might this be    
finissonsen vite,lets end this fast,lets play it fast    
où estce que cest caché ,where is it hidden,where is this     
cela atil de limportance ,does this count,does it matter     
je sais que tom sen est allé,i know tom has gone,i know tom  left   
je nai rien dit,i didnt say a thing,i didnt say anything    
comme tu mas manqué ,how ive missed you,what me      
je suis rentré dans larmée,i went into the army,i am the     
je vais me planter,im going to flunk,im going on     
la porte ne se ferme pas,the door doesnt lock,the door isnt ended    
gonflez le pneu ,pump up the tire,itll me the     
elle lui a raconté une blague,she told him a joke,she told him a joke   
ne le comprendstu pas ,dont you get it,dont you understand her    
que veuxtu dire ,what do you mean,what do you want ride   
jai arrêté après une semaine,i quit after a week,i left a movie    
navonsnous pas de chance ,arent we lucky,im not      
naie pas lair si choquée ,dont look so shocked,dont look so shocked    
estu occupé ,are you busy,are you courageous     
je ne crois pas que je ronfle,i dont think i snore,i dont cant snore    
je ne men souviens tout simplement pas,i just dont remember,i just dont know    
jai eu la pétoche,i freaked out,i had the     
fermez la porte sil vous plaît,please shut the door,shut the door please    
nous lavons vu,weve seen it,weve seen it     
je voulais y aller,i wanted to go,i wanted to go    
ne reviens pas,dont come again,dont come back     
je me douche quotidiennement,i shower every day,i live in every day   
tom semble inoffensif,tom seems harmless,tom seems harmless     
je pense que cest évident,i think its obvious,i think its     
les chiens enterrent souvent des os,dogs often bury bones,cats dogs fruit     
il a perdu la vue,he lost his eyesight,he lost blind eyesight    
je déjeune,im eating lunch,i have lunch     
elles négocieront,theyll negotiate,they have      
allons manger dehors,lets go out to eat,lets go eat     
combien en astu eues ,how many have you had,how many did you have   
donnemoi une bière,give me a beer,give me a beer    
sil vous plaît donnezmoi un coup de main,please give me a hand,please just me     
jai été verbalisé,i got fined,i was beaten     
sois spécifique,be specific,be specific      
ce nest même pas drôle,thats not even funny,thats not so     
je ne me sens pas malade,i dont feel sick,i dont feel sick    
vous nêtes pas forcée de vous en aller,you dont have to go,you dont have to go   
tu savais nestce pas ,you knew didnt you,didnt know      
en êtesvous sûrs ,are you sure of it,are you sure     
viens chez nous ,come over,come on to     
cassezvous,get lost,get away      
tom est idiot,tom is an idiot,tom is stupid     
viens avant quil ne fasse sombre,come home before dark,come  is     
ne répète pas ça ,dont repeat that,dont forget that     
il est plutôt tard,its kind of late,whos is late     
tom a fait feu une fois,tom fired once,tom bought a once    
on se fout de votre gueule,the jokes on you,youre out of tv    
comment cela se peutil ,how can this be,how is this possible    
jadore le cinéma,i love movies,i love movies     
il est lheure de faire la fête,its time to party,hes time on     
